Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type00,240,6.80286,1.25037,0.36946,4.68875,7.45427,1.23809,0.22695,2.73850,7.57981,1.44083,0.60106,4.76652,0.00000,0.00000,0.00000,0.00000,13.51494,7.42438,0.47425,21.43582,7.39126,1.26984,0.23099,2.99389
Type00,245,6.21036,2.83977,1.20971,9.52137,7.06086,2.82263,1.10265,7.68672,7.44372,2.89471,1.00850,4.68262,2.30674,3.03381,0.88086,0.68539,14.54394,7.67269,0.80645,21.19701,7.05286,2.84266,1.10115,7.63848
Type00,255,8.20678,6.30154,1.54983,9.01704,8.20696,6.21481,1.54634,8.77461,8.29149,5.00830,1.18473,4.99085,3.10743,6.49298,1.96496,1.54007,15.28520,7.82682,2.03925,21.23548,8.33343,6.32639,1.54239,8.10699
Type00,265,9.54700,7.65795,2.59539,12.22937,9.94603,7.57791,2.53858,9.89415,9.26447,3.26932,1.45005,7.61412,3.57234,4.68213,1.79021,0.03106,14.47068,8.42060,1.71967,23.63765,9.96876,7.65712,2.54468,10.21776
Type00,270,68.40833,7.32375,1.85166,7.69692,68.66652,7.64160,1.79616,4.66726,69.42054,5.89344,1.31509,2.65191,70.07835,7.34168,2.85279,5.53377,72.59470,8.23154,2.79257,18.58152,68.60195,7.40822,1.77014,5.41007
Type00,275,9.15023,9.39611,2.43891,7.76025,10.01859,9.04798,2.41890,4.62647,9.43990,2.66924,1.31884,3.39684,4.10015,4.51193,1.89482,5.31903,17.59595,8.47593,1.71922,19.24284,9.97545,9.11052,2.39972,5.49950
Type01,230,7.09442,3.08837,0.52947,0.09314,7.18601,0.80243,0.24456,1.36374,7.03662,1.03192,0.41402,1.48786,0.00000,0.00000,0.00000,0.00000,12.70881,7.07425,0.47446,20.62988,7.19755,0.80835,0.20033,1.61713
Type01,240,7.49585,4.13678,1.93855,7.70050,7.37138,3.84012,1.77474,6.13106,7.83290,3.78327,1.58600,4.96087,4.23401,3.06331,1.30408,1.74428,11.82356,7.56089,1.44697,23.27111,7.79932,4.07002,1.81822,5.98993
Type01,250,7.05415,5.26929,2.03177,6.90479,7.42322,5.06045,1.91187,3.93804,7.31525,3.85704,1.41852,5.37753,2.16693,3.09710,1.18479,0.47526,12.91218,7.70760,1.34952,22.89903,7.68213,5.19049,1.97840,4.04000
Type01,260,8.87400,8.48685,3.64795,5.42603,9.11737,8.92440,3.71429,4.02610,8.15252,6.80717,2.91310,5.93503,5.14469,6.06640,2.05209,0.74807,12.32024,8.12904,2.14911,22.57266,9.18769,8.96855,3.71143,3.82140
Type01,280,8.97500,7.97770,3.25477,9.49035,9.94350,7.53976,3.09571,2.45588,8.74614,5.78997,2.41923,4.58307,4.07623,8.34382,2.49203,5.46960,14.45497,8.74202,2.51524,19.64503,10.79308,7.72787,3.02296,1.69428
Type02,230,7.97046,3.32109,0.60840,2.98461,7.26259,1.09069,0.40951,3.16311,7.43851,2.02719,0.61577,4.46518,0.00000,0.00000,0.00000,0.00000,13.08847,7.11266,0.42672,19.70729,7.76238,1.36493,0.31180,4.26040
Type02,250,63.32975,8.31101,2.54106,3.10331,63.69808,9.12568,2.89870,0.43964,63.43353,5.62948,1.92480,2.35102,63.66933,7.90380,2.98363,6.89654,65.79350,7.68764,2.93685,14.52443,63.40565,8.17527,2.69328,0.77602
Type02,260,8.93646,8.32260,2.23309,0.63578,8.80018,8.43565,2.22431,1.02903,8.11494,3.27486,1.25478,2.84134,4.22520,7.24359,2.82624,8.74463,15.50987,7.93261,2.68376,13.53317,8.58618,7.73736,2.05644,0.21862
Type02,270,9.44794,8.19173,2.41338,3.13323,9.75095,7.85201,2.29512,1.85898,9.15630,3.56075,1.47400,5.14619,4.95513,7.22903,3.40720,8.74788,17.04791,8.13358,3.26320,14.38676,9.52814,8.07193,2.30164,1.12798
Type03,230,7.15076,2.04006,0.32257,1.23408,7.24924,0.79538,0.23050,0.65094,7.17286,1.46630,0.52620,2.76935,0.00000,0.00000,0.00000,0.00000,12.85566,6.96228,0.42842,20.01329,7.06458,0.68446,0.22124,2.02847
Type03,235,7.97335,2.46337,0.76344,3.38411,8.10501,2.82136,0.86722,4.10727,8.26999,2.61582,0.77219,2.64700,2.31591,1.89396,0.55397,0.70372,12.86135,7.11895,0.63431,19.74464,8.53874,3.19570,0.98708,4.50496
Type03,245,7.59238,2.48163,1.07336,5.51594,7.99615,2.39812,1.07483,3.62138,8.09961,1.92560,0.80298,2.96020,1.67672,2.00171,0.62516,1.46694,14.53727,7.37232,0.64590,19.85157,8.31501,2.44786,1.06908,3.08154
Type03,250,7.96419,3.00186,1.11584,3.25084,8.11802,2.73534,1.02917,1.04507,8.49643,2.97112,1.07964,0.86236,2.63080,3.70791,1.54141,4.16095,15.10856,7.46211,1.48054,17.59263,8.00731,2.45657,0.96693,0.67302
Type03,255,8.20980,3.13894,0.97231,6.14661,8.41649,2.35962,0.79224,4.37097,8.61734,2.85226,0.98441,4.48581,3.38899,3.51678,1.77417,1.34266,14.03346,7.68756,1.75972,20.84599,8.30388,2.33426,0.74909,4.46892
Type03,260,8.43581,2.89925,1.16590,3.19145,8.26621,3.00758,1.04391,2.02097,8.74646,2.91945,0.79823,2.30632,2.87929,3.80890,1.49405,4.30355,15.65697,7.92391,1.47649,18.32017,7.89709,2.78381,1.03310,2.92176
Type03,265,8.92632,5.11383,1.62484,1.61250,8.91996,5.00490,1.47501,0.64259,9.25598,5.41323,1.56159,1.26724,3.84067,6.78104,2.46721,6.10165,15.98819,8.06493,2.35023,16.95715,8.69218,4.87595,1.45742,1.48658
Type03,270,8.05114,3.93064,1.41723,2.79365,8.26690,4.35008,1.35259,1.34268,8.44640,4.15899,1.27083,2.42268,2.45234,5.37075,1.61591,5.68413,15.18849,8.17069,1.67260,17.80973,8.38448,4.57665,1.41095,1.68757
Type03,275,8.39949,4.77529,1.24423,2.21038,8.78945,4.00500,1.24425,0.23598,8.99062,3.93555,1.19612,0.93224,3.46996,7.59668,2.35492,7.89262,15.91109,8.38719,2.36011,16.03632,8.97198,3.95219,1.29048,0.17468
Type03,280,70.85620,4.49539,1.32696,8.16116,71.09819,4.00475,1.20038,4.56835,71.11337,3.60817,1.23266,4.82546,71.96599,7.29643,2.28895,4.69868,74.68965,8.48901,2.34406,19.66533,71.12316,3.95975,1.16329,4.19795
Type04,230,7.43967,2.01739,0.38281,1.97343,7.50164,0.68916,0.18554,1.22773,7.61095,1.36947,0.52551,3.07008,0.00000,0.00000,0.00000,0.00000,12.84688,7.21154,0.57371,20.42828,7.38545,0.68205,0.21808,2.25714
Type04,235,7.47277,2.06805,0.72535,1.56079,7.74649,2.23106,0.71603,1.61217,7.94255,2.25013,0.65740,0.51919,2.21420,3.48961,1.05057,3.17028,12.79020,7.34452,0.84771,17.70209,8.08076,2.27924,0.75387,1.98218
Type04,240,6.70837,2.23313,1.22921,1.70365,7.25722,2.50140,1.26498,0.57340,7.29484,2.80419,1.12080,0.18296,1.79950,3.36933,1.17118,4.70359,12.62956,7.51186,1.11106,16.61287,7.61207,2.74626,1.33418,0.11880
Type04,245,7.29152,3.14211,1.30162,2.64983,7.82024,3.30130,1.34013,0.52765,7.88217,2.76016,1.10702,0.79692,2.26652,4.99725,1.35598,4.53179,13.23445,7.69327,1.29674,17.22877,7.96051,3.24015,1.34504,0.07393
Type04,250,7.96880,4.84171,2.51218,5.69863,8.12384,5.01515,2.40266,3.60082,8.39988,4.24731,2.18203,4.52808,2.00736,3.66059,1.11505,1.58700,14.02916,7.91626,1.32579,20.61765,7.95933,4.99634,2.33252,3.30891
Type04,260,8.67220,3.16337,1.42833,1.71619,8.50503,3.28216,1.33037,2.61533,9.05012,2.51996,1.12215,0.69158,3.39732,6.24914,2.08318,8.31956,15.21346,8.04124,2.01989,14.77328,8.24741,3.33699,1.34608,2.17143
Type04,265,8.42551,4.44321,1.48298,2.39011,8.39260,3.24984,1.31388,3.16487,8.84747,3.60164,0.99159,0.42259,3.79378,7.84749,2.45581,8.81439,15.00996,8.16594,2.38780,14.72254,8.31837,3.19523,1.29803,2.55855
Type04,270,8.14106,2.94017,1.42041,2.52896,8.30859,2.44556,1.20938,3.98859,8.77090,1.93529,0.92420,0.08478,3.57557,6.67681,2.49074,9.27481,14.92032,8.49715,2.44209,14.70621,8.42492,2.27920,1.18082,3.60936
Type04,280,7.67290,4.31833,1.31057,0.15929,8.11167,3.92829,1.36965,3.79092,8.82782,2.98575,0.87771,1.04765,4.69282,8.24476,3.14642,9.99586,15.33020,8.72567,2.91500,14.87335,8.08736,3.88664,1.39525,4.19332
Type05,240,9.55108,4.67044,0.70428,0.05309,7.82333,1.33114,0.38102,2.23399,7.83631,1.74679,0.54160,2.36010,0.00000,0.00000,0.00000,0.00000,13.20281,7.28426,0.60405,22.12682,7.72571,1.15809,0.28091,2.78320
Type05,260,9.31598,5.42576,1.87320,1.24380,8.89085,6.22428,1.76375,4.54566,8.44813,3.29839,1.37608,0.82803,2.85491,4.38214,2.02232,6.20045,14.39348,7.90369,1.98526,17.77027,8.71946,6.54136,1.71625,5.67532
Type05,280,68.57084,9.03635,2.40362,1.45190,68.69581,9.02617,2.34680,0.89726,67.69514,2.99407,1.07710,1.54382,68.44784,6.32170,2.45065,6.74201,70.63872,8.51215,2.38477,19.07261,68.63486,9.05554,2.30148,3.29116
Type06,230,7.33408,3.21454,0.45996,0.54815,7.44076,0.88325,0.26870,0.78280,7.05279,1.21991,0.44351,2.09554,0.00000,0.00000,0.00000,0.00000,12.74675,7.06559,0.55077,19.52823,7.39528,0.87932,0.22721,1.58520
Type06,240,7.10244,2.85066,0.88237,3.46277,7.00225,3.02815,1.06798,2.46154,7.18564,2.97089,0.87239,1.39233,3.36247,2.88550,1.15716,2.62659,11.85384,7.24741,1.01029,17.75069,7.38602,3.04857,1.05154,2.23765
Type06,250,7.52365,2.35899,0.76838,4.63724,7.85905,2.29188,0.73393,2.40005,7.76806,2.18205,0.76298,3.08870,2.24405,2.94789,1.56287,2.75164,13.50449,7.63592,1.35950,18.47470,8.06544,2.16936,0.70059,2.41580
Type06,270,8.91541,4.10397,1.20133,5.11321,9.32050,4.34674,1.22116,4.18583,8.95055,3.99536,1.16288,4.77317,4.39672,5.23839,2.29894,4.44541,14.34346,8.13623,2.11512,18.47903,9.58805,4.41660,1.09093,3.06904
Type06,280,8.33115,4.54942,1.26741,14.05070,9.17104,3.90144,1.23280,8.06633,8.65838,3.74041,1.27744,6.64891,5.44226,5.04999,2.29417,4.14405,13.83927,8.55539,2.14870,19.62945,10.30041,3.50529,1.18668,7.38439
Type07,250,8.04572,10.11396,0.96537,10.78121,7.96218,9.29134,0.93620,11.52529,7.86075,10.05867,0.92516,10.65050,0.00000,0.00000,0.00000,0.00000,14.04034,7.70785,0.42635,21.11508,8.11097,9.74965,1.00299,12.27822
Type07,270,7.49506,9.32295,1.45746,11.12314,8.55157,10.89390,1.48751,14.22199,8.41345,10.56216,1.21361,10.68327,1.69932,2.33479,0.78455,3.08438,15.83806,8.36842,0.87566,19.71990,8.66369,11.02686,1.45710,15.32121
Type07,280,10.62821,10.15660,1.72637,10.47764,11.50360,10.36862,1.71375,10.11391,8.98744,10.18146,1.38829,8.67348,3.06462,5.33820,1.84152,2.51820,16.93853,8.61140,1.86610,21.13069,11.03592,10.17895,1.67780,12.42103
